brandname,dateoftransaction,count
Chewy,2020-07-16,52
Fatburger,2020-07-16,73
Janie And Jack,2020-07-16,121
Air New Zealand,2020-07-17,2
Champion,2020-07-17,52
Chewy,2020-07-17,13
Fatburger,2020-07-17,23
Janie And Jack,2020-07-17,57
Air New Zealand,2020-07-18,5
Champion,2020-07-18,74
Chewy,2020-07-18,40
Fatburger,2020-07-18,13
Janie And Jack,2020-07-18,61
Air New Zealand,2020-07-19,1
Champion,2020-07-19,45
Chewy,2020-07-19,15
Fatburger,2020-07-19,10
Janie And Jack,2020-07-19,43
Air New Zealand,2020-07-20,3
Champion,2020-07-20,62
Chewy,2020-07-20,66
Fatburger,2020-07-20,93
Janie And Jack,2020-07-20,71
Champion,2020-07-21,8
Fatburger,2020-07-21,2
Janie And Jack,2020-07-21,2
Air New Zealand,2020-07-22,2
Champion,2020-07-22,34
Chewy,2020-07-22,8
Fatburger,2020-07-22,18
Janie And Jack,2020-07-22,26
Air New Zealand,2020-07-23,2
Century Theatres,2020-07-23,1
Champion,2020-07-23,83
Chewy,2020-07-23,29
Fatburger,2020-07-23,69
Janie And Jack,2020-07-23,87
Air New Zealand,2020-07-24,5
Champion,2020-07-24,93
Chewy,2020-07-24,80
Fatburger,2020-07-24,55
Janie And Jack,2020-07-24,55
Air New Zealand,2020-07-25,1
Champion,2020-07-25,63
Chewy,2020-07-25,13
Fatburger,2020-07-25,2
Janie And Jack,2020-07-25,39
Champion,2020-07-26,39
Chewy,2020-07-26,13
Fatburger,2020-07-26,12
Janie And Jack,2020-07-26,20
Champion,2020-07-27,25
Fatburger,2020-07-27,2
Janie And Jack,2020-07-27,15
Air New Zealand,2020-07-28,2
Champion,2020-07-28,34
Chewy,2020-07-28,64
Fatburger,2020-07-28,47
Janie And Jack,2020-07-28,22
Champion,2020-07-29,44
Chewy,2020-07-29,21
Fatburger,2020-07-29,26
Janie And Jack,2020-07-29,38
Air New Zealand,2020-07-30,2
Champion,2020-07-30,139
Chewy,2020-07-30,20
Fatburger,2020-07-30,44
Janie And Jack,2020-07-30,85
Air New Zealand,2020-07-31,2
Champion,2020-07-31,93
Chewy,2020-07-31,25
Fatburger,2020-07-31,38
Janie And Jack,2020-07-31,57
Champion,2020-08-01,69
Chewy,2020-08-01,15
Fatburger,2020-08-01,32
Janie And Jack,2020-08-01,40
Air New Zealand,2020-08-02,1
Champion,2020-08-02,49
Chewy,2020-08-02,14
Fatburger,2020-08-02,28
Janie And Jack,2020-08-02,39
Air New Zealand,2020-08-03,1
Champion,2020-08-03,40
Chewy,2020-08-03,8
Fatburger,2020-08-03,38
Janie And Jack,2020-08-03,33
Air New Zealand,2020-08-04,3
Champion,2020-08-04,62
Chewy,2020-08-04,91
Fatburger,2020-08-04,73
Janie And Jack,2020-08-04,28
Champion,2020-08-05,18
Chewy,2020-08-05,20
Fatburger,2020-08-05,8
Janie And Jack,2020-08-05,13
Champion,2020-08-06,34
Chewy,2020-08-06,44
Fatburger,2020-08-06,67
Janie And Jack,2020-08-06,40
Century Theatres,2020-08-07,1
Champion,2020-08-07,120
Chewy,2020-08-07,71
Fatburger,2020-08-07,35
Janie And Jack,2020-08-07,89
Champion,2020-08-08,68
Chewy,2020-08-08,21
Fatburger,2020-08-08,38
Janie And Jack,2020-08-08,58
Air New Zealand,2020-08-09,1
Champion,2020-08-09,74
Chewy,2020-08-09,11
Fatburger,2020-08-09,10
Janie And Jack,2020-08-09,47
Air New Zealand,2020-08-10,4
Champion,2020-08-10,86
Chewy,2020-08-10,41
Fatburger,2020-08-10,18
Janie And Jack,2020-08-10,60
Century Theatres,2020-08-11,1
Champion,2020-08-11,6
Chewy,2020-08-11,3
Fatburger,2020-08-11,4
Janie And Jack,2020-08-11,13
Champion,2020-08-12,20
Chewy,2020-08-12,22
Fatburger,2020-08-12,24
Janie And Jack,2020-08-12,31
Champion,2020-08-13,64
Chewy,2020-08-13,39
Fatburger,2020-08-13,43
Janie And Jack,2020-08-13,54
Air New Zealand,2020-08-14,2
Champion,2020-08-14,99
Chewy,2020-08-14,25
Fatburger,2020-08-14,25
Janie And Jack,2020-08-14,79
Air New Zealand,2020-08-15,2
Champion,2020-08-15,57
Chewy,2020-08-15,9
Fatburger,2020-08-15,41
Janie And Jack,2020-08-15,29
Air New Zealand,2020-08-16,1
Champion,2020-08-16,50
Chewy,2020-08-16,12
Fatburger,2020-08-16,34
Janie And Jack,2020-08-16,31
Champion,2020-08-17,62
Air New Zealand,2020-08-17,15
Chewy,2020-08-17,94
Fatburger,2020-08-17,85
Janie And Jack,2020-08-17,57
Champion,2020-08-18,16
Chewy,2020-08-18,2
Fatburger,2020-08-18,33
Janie And Jack,2020-08-18,7
Air New Zealand,2020-08-19,1
Champion,2020-08-19,45
Chewy,2020-08-19,37
Janie And Jack,2020-08-19,41
Fatburger,2020-08-19,23
Air New Zealand,2020-08-20,2
Century Theatres,2020-08-20,2
Champion,2020-08-20,92
Chewy,2020-08-20,23
Fatburger,2020-08-20,91
Janie And Jack,2020-08-20,37
Air New Zealand,2020-08-21,2
Century Theatres,2020-08-21,2
Champion,2020-08-21,75
Chewy,2020-08-21,59
Fatburger,2020-08-21,49
Janie And Jack,2020-08-21,55
Air New Zealand,2020-08-22,2
Champion,2020-08-22,73
Chewy,2020-08-22,38
Fatburger,2020-08-22,19
Janie And Jack,2020-08-22,50
Air New Zealand,2020-08-23,1
Champion,2020-08-23,37
Chewy,2020-08-23,5
Fatburger,2020-08-23,6
Janie And Jack,2020-08-23,27
Air New Zealand,2020-08-24,1
Champion,2020-08-24,67
Fatburger,2020-08-24,34
Janie And Jack,2020-08-24,32
Chewy,2020-08-24,14
Air New Zealand,2020-08-25,1
Century Theatres,2020-08-25,5
Champion,2020-08-25,62
Chewy,2020-08-25,80
Fatburger,2020-08-25,84
Janie And Jack,2020-08-25,36
Champion,2020-08-26,51
Chewy,2020-08-26,32
Fatburger,2020-08-26,32
Janie And Jack,2020-08-26,42
Century Theatres,2020-08-26,2
Air New Zealand,2020-08-27,2
Century Theatres,2020-08-27,4
Champion,2020-08-27,148
Fatburger,2020-08-27,76
Janie And Jack,2020-08-27,95
Chewy,2020-08-27,23
Air New Zealand,2020-08-28,1
Champion,2020-08-28,71
Chewy,2020-08-28,41
Fatburger,2020-08-28,48
Janie And Jack,2020-08-28,85
Champion,2020-08-29,50
Chewy,2020-08-29,16
Fatburger,2020-08-29,47
Janie And Jack,2020-08-29,43
Air New Zealand,2020-08-30,2
Champion,2020-08-30,47
Chewy,2020-08-30,8
Fatburger,2020-08-30,14
Janie And Jack,2020-08-30,25
Century Theatres,2020-08-31,1
Champion,2020-08-31,88
Chewy,2020-08-31,21
Fatburger,2020-08-31,98
Janie And Jack,2020-08-31,61
Air New Zealand,2020-09-01,3
Champion,2020-09-01,34
Chewy,2020-09-01,22
Fatburger,2020-09-01,48
Janie And Jack,2020-09-01,27
Champion,2020-09-02,39
Chewy,2020-09-02,15
Fatburger,2020-09-02,69
Janie And Jack,2020-09-02,28
Century Theatres,2020-09-03,3
Champion,2020-09-03,93
Chewy,2020-09-03,59
Fatburger,2020-09-03,155
Janie And Jack,2020-09-03,63
Century Theatres,2020-09-04,5
Champion,2020-09-04,59
Chewy,2020-09-04,21
Fatburger,2020-09-04,41
Janie And Jack,2020-09-04,67
Air New Zealand,2020-09-05,1
Century Theatres,2020-09-05,14
Champion,2020-09-05,143
Chewy,2020-09-05,48
Fatburger,2020-09-05,89
Janie And Jack,2020-09-05,216
Century Theatres,2020-09-06,5
Air New Zealand,2020-09-06,2
Champion,2020-09-06,68
Chewy,2020-09-06,15
Fatburger,2020-09-06,22
Janie And Jack,2020-09-06,51
Century Theatres,2020-09-07,5
Champion,2020-09-07,67
Chewy,2020-09-07,14
Air New Zealand,2020-09-07,1
Fatburger,2020-09-07,75
Janie And Jack,2020-09-07,52
Champion,2020-09-08,9
Chewy,2020-09-08,5
Fatburger,2020-09-08,14
Janie And Jack,2020-09-08,2
Air New Zealand,2020-09-09,3
Century Theatres,2020-09-09,2
Champion,2020-09-09,70
Chewy,2020-09-09,96
Fatburger,2020-09-09,140
Janie And Jack,2020-09-09,82
Air New Zealand,2020-09-10,2
Century Theatres,2020-09-10,4
Champion,2020-09-10,54
Chewy,2020-09-10,59
Fatburger,2020-09-10,69
Janie And Jack,2020-09-10,45
Century Theatres,2020-09-11,25
Champion,2020-09-11,103
Chewy,2020-09-11,52
Fatburger,2020-09-11,143
Janie And Jack,2020-09-11,88
Air New Zealand,2020-09-12,1
Century Theatres,2020-09-12,7
Champion,2020-09-12,68
Chewy,2020-09-12,34
Fatburger,2020-09-12,75
Janie And Jack,2020-09-12,72
Air New Zealand,2020-09-13,3
Champion,2020-09-13,72
Chewy,2020-09-13,15
Fatburger,2020-09-13,49
Janie And Jack,2020-09-13,31
Century Theatres,2020-09-13,2
Century Theatres,2020-09-14,1
Champion,2020-09-14,36
Chewy,2020-09-14,7
Fatburger,2020-09-14,19
Janie And Jack,2020-09-14,23
Air New Zealand,2020-09-15,3
Century Theatres,2020-09-15,5
Champion,2020-09-15,48
Chewy,2020-09-15,70
Fatburger,2020-09-15,51
Janie And Jack,2020-09-15,34
Century Theatres,2020-09-16,2
Champion,2020-09-16,109
Chewy,2020-09-16,34
Fatburger,2020-09-16,177
Janie And Jack,2020-09-16,78
Air New Zealand,2020-09-17,2
Century Theatres,2020-09-17,17
Champion,2020-09-17,133
Fatburger,2020-09-17,209
Chewy,2020-09-17,39
Janie And Jack,2020-09-17,108
Air New Zealand,2020-09-18,1
Champion,2020-09-18,61
Chewy,2020-09-18,23
Fatburger,2020-09-18,59
Century Theatres,2020-09-18,6
Janie And Jack,2020-09-18,39
Century Theatres,2020-09-19,3
Champion,2020-09-19,46
Chewy,2020-09-19,39
Fatburger,2020-09-19,46
Janie And Jack,2020-09-19,70
Air New Zealand,2020-09-20,1
Century Theatres,2020-09-20,2
Champion,2020-09-20,33
Chewy,2020-09-20,12
Fatburger,2020-09-20,25
Janie And Jack,2020-09-20,59
Air New Zealand,2020-09-21,1
Century Theatres,2020-09-21,2
Champion,2020-09-21,48
Chewy,2020-09-21,20
Fatburger,2020-09-21,21
Janie And Jack,2020-09-21,60
Century Theatres,2020-09-22,5
Champion,2020-09-22,20
Chewy,2020-09-22,37
