brandname,dateoftransaction,count
Air New Zealand,2020-12-01,4
Fatburger,2020-12-01,240
Janie And Jack,2020-12-01,114
Air New Zealand,2020-12-02,1
Century Theatres,2020-12-02,2
Champion,2020-12-02,47
Fatburger,2020-12-02,40
Chewy,2020-12-02,51
Janie And Jack,2020-12-02,60
Air New Zealand,2020-12-03,3
Century Theatres,2020-12-03,10
Champion,2020-12-03,116
Chewy,2020-12-03,45
Fatburger,2020-12-03,85
Janie And Jack,2020-12-03,107
Air New Zealand,2020-12-04,2
Century Theatres,2020-12-04,3
Champion,2020-12-04,106
Chewy,2020-12-04,41
Fatburger,2020-12-04,118
Janie And Jack,2020-12-04,130
Air New Zealand,2020-12-05,1
Century Theatres,2020-12-05,3
Champion,2020-12-05,54
Chewy,2020-12-05,23
Fatburger,2020-12-05,93
Janie And Jack,2020-12-05,42
Air New Zealand,2020-12-06,1
Century Theatres,2020-12-06,7
Champion,2020-12-06,58
Chewy,2020-12-06,177
Fatburger,2020-12-06,43
Janie And Jack,2020-12-06,48
Air New Zealand,2020-12-07,2
Champion,2020-12-07,88
Chewy,2020-12-07,98
Janie And Jack,2020-12-07,48
Fatburger,2020-12-07,60
Air New Zealand,2020-12-08,1
Champion,2020-12-08,63
Chewy,2020-12-08,29
Fatburger,2020-12-08,89
Janie And Jack,2020-12-08,48
Air New Zealand,2020-12-09,3
Century Theatres,2020-12-09,1
Champion,2020-12-09,81
Chewy,2020-12-09,76
Fatburger,2020-12-09,68
Janie And Jack,2020-12-09,58
Air New Zealand,2020-12-10,1
Century Theatres,2020-12-10,2
Champion,2020-12-10,172
Chewy,2020-12-10,127
Fatburger,2020-12-10,119
Janie And Jack,2020-12-10,147
Century Theatres,2020-12-11,1
Champion,2020-12-11,92
Chewy,2020-12-11,81
Fatburger,2020-12-11,108
Janie And Jack,2020-12-11,97
Air New Zealand,2020-12-13,6
Century Theatres,2020-12-13,4
Champion,2020-12-13,152
Chewy,2020-12-13,109
Fatburger,2020-12-13,88
Janie And Jack,2020-12-13,124
Air New Zealand,2020-12-14,3
Fatburger,2020-12-14,50
Champion,2020-12-14,71
Chewy,2020-12-14,84
Janie And Jack,2020-12-14,90
Air New Zealand,2020-12-15,3
Champion,2020-12-15,16
Chewy,2020-12-15,16
Fatburger,2020-12-15,39
Janie And Jack,2020-12-15,35
Champion,2020-12-16,40
Chewy,2020-12-16,51
Fatburger,2020-12-16,28
Century Theatres,2020-12-16,1
Janie And Jack,2020-12-16,56
Air New Zealand,2020-12-17,36
Century Theatres,2020-12-17,29
Champion,2020-12-17,156
Chewy,2020-12-17,193
Fatburger,2020-12-17,175
Janie And Jack,2020-12-17,148
Air New Zealand,2020-12-18,2
Century Theatres,2020-12-18,68
Chewy,2020-12-18,459
Fatburger,2020-12-18,76
Champion,2020-12-18,78
Janie And Jack,2020-12-18,70
Century Theatres,2020-12-19,607
Champion,2020-12-19,110
Chewy,2020-12-19,1172
Fatburger,2020-12-19,91
Janie And Jack,2020-12-19,92
Century Theatres,2020-12-20,95
Champion,2020-12-20,74
Chewy,2020-12-20,325
Fatburger,2020-12-20,77
Janie And Jack,2020-12-20,48
Century Theatres,2020-12-21,1
Champion,2020-12-21,33
Fatburger,2020-12-21,30
Janie And Jack,2020-12-21,26
Chewy,2020-12-21,11
Century Theatres,2020-12-22,3
Champion,2020-12-22,46
Chewy,2020-12-22,36
Fatburger,2020-12-22,62
Janie And Jack,2020-12-22,27
Air New Zealand,2020-12-23,2
Champion,2020-12-23,29
Chewy,2020-12-23,27
Janie And Jack,2020-12-23,31
Fatburger,2020-12-23,29
Air New Zealand,2020-12-24,2
Century Theatres,2020-12-24,5
Champion,2020-12-24,158
Chewy,2020-12-24,70
Fatburger,2020-12-24,131
Janie And Jack,2020-12-24,130
Air New Zealand,2020-12-25,1
Century Theatres,2020-12-25,4
Champion,2020-12-25,44
Chewy,2020-12-25,19
Fatburger,2020-12-25,64
Janie And Jack,2020-12-25,39
Century Theatres,2020-12-26,2
Champion,2020-12-26,57
Chewy,2020-12-26,11
Fatburger,2020-12-26,36
Janie And Jack,2020-12-26,46
Century Theatres,2020-12-27,4
Champion,2020-12-27,39
Chewy,2020-12-27,10
Fatburger,2020-12-27,15
Janie And Jack,2020-12-27,24
Champion,2020-12-28,15
Chewy,2020-12-28,4
Fatburger,2020-12-28,19
Janie And Jack,2020-12-28,14
Air New Zealand,2020-12-29,1
Century Theatres,2020-12-29,1
Champion,2020-12-29,47
Fatburger,2020-12-29,36
Janie And Jack,2020-12-29,31
Chewy,2020-12-29,6
Century Theatres,2020-12-30,9
Champion,2020-12-30,59
Chewy,2020-12-30,73
Fatburger,2020-12-30,72
Air New Zealand,2020-12-30,2
Janie And Jack,2020-12-30,60
Air New Zealand,2020-12-31,4
Century Theatres,2020-12-31,7
Champion,2020-12-31,133
Chewy,2020-12-31,44
Fatburger,2020-12-31,89
Janie And Jack,2020-12-31,87
Air New Zealand,2021-01-01,3
Century Theatres,2021-01-01,7
Champion,2021-01-01,48
Chewy,2021-01-01,13
Fatburger,2021-01-01,54
Janie And Jack,2021-01-01,59
Champion,2021-01-02,38
Chewy,2021-01-02,13
Fatburger,2021-01-02,52
Janie And Jack,2021-01-02,22
Champion,2021-01-03,18
Chewy,2021-01-03,4
Fatburger,2021-01-03,3
Janie And Jack,2021-01-03,11
Air New Zealand,2021-01-04,2
Champion,2021-01-04,14
Chewy,2021-01-04,3
Fatburger,2021-01-04,13
Janie And Jack,2021-01-04,27
Air New Zealand,2021-01-05,4
Century Theatres,2021-01-05,9
Champion,2021-01-05,117
Chewy,2021-01-05,100
Fatburger,2021-01-05,120
Janie And Jack,2021-01-05,81
Air New Zealand,2021-01-06,1
Champion,2021-01-06,54
Chewy,2021-01-06,32
Fatburger,2021-01-06,47
Janie And Jack,2021-01-06,27
Air New Zealand,2021-01-07,3
Century Theatres,2021-01-07,7
Champion,2021-01-07,150
Chewy,2021-01-07,91
Fatburger,2021-01-07,159
Janie And Jack,2021-01-07,218
Air New Zealand,2021-01-08,2
Century Theatres,2021-01-08,4
Champion,2021-01-08,74
Chewy,2021-01-08,48
Fatburger,2021-01-08,61
Janie And Jack,2021-01-08,49
Champion,2021-01-09,71
Chewy,2021-01-09,29
Fatburger,2021-01-09,20
Janie And Jack,2021-01-09,26
Air New Zealand,2021-01-10,2
Champion,2021-01-10,22
Chewy,2021-01-10,15
Fatburger,2021-01-10,23
Janie And Jack,2021-01-10,24
Air New Zealand,2021-01-11,6
Champion,2021-01-11,45
Fatburger,2021-01-11,38
Chewy,2021-01-11,79
Janie And Jack,2021-01-11,30
Century Theatres,2021-01-12,2
Champion,2021-01-12,93
Chewy,2021-01-12,34
Fatburger,2021-01-12,68
Janie And Jack,2021-01-12,54
Century Theatres,2021-01-13,6
Champion,2021-01-13,81
Chewy,2021-01-13,15
Fatburger,2021-01-13,69
Janie And Jack,2021-01-13,66
Air New Zealand,2021-01-14,1
Century Theatres,2021-01-14,3
Champion,2021-01-14,55
Chewy,2021-01-14,51
Fatburger,2021-01-14,61
Janie And Jack,2021-01-14,21
Champion,2021-01-15,75
Chewy,2021-01-15,95
Fatburger,2021-01-15,80
Janie And Jack,2021-01-15,55
Century Theatres,2021-01-16,1
Champion,2021-01-16,66
Chewy,2021-01-16,34
Fatburger,2021-01-16,52
Janie And Jack,2021-01-16,34
Century Theatres,2021-01-17,1
Champion,2021-01-17,25
Chewy,2021-01-17,5
Fatburger,2021-01-17,17
Janie And Jack,2021-01-17,17
Champion,2021-01-18,28
Chewy,2021-01-18,9
Fatburger,2021-01-18,23
Janie And Jack,2021-01-18,9
Air New Zealand,2021-01-19,2
Century Theatres,2021-01-19,2
Champion,2021-01-19,86
Chewy,2021-01-19,59
Fatburger,2021-01-19,110
Janie And Jack,2021-01-19,61
Air New Zealand,2021-01-20,1
Century Theatres,2021-01-20,2
Chewy,2021-01-20,34
Champion,2021-01-20,118
Fatburger,2021-01-20,127
Janie And Jack,2021-01-20,67
Air New Zealand,2021-01-21,2
Century Theatres,2021-01-21,1
Champion,2021-01-21,74
Chewy,2021-01-21,36
Fatburger,2021-01-21,95
Janie And Jack,2021-01-21,36
Air New Zealand,2021-01-23,2
Century Theatres,2021-01-23,3
Champion,2021-01-23,276
Chewy,2021-01-23,85
Fatburger,2021-01-23,172
Janie And Jack,2021-01-23,219
Champion,2021-01-24,2
Chewy,2021-01-24,2
Janie And Jack,2021-01-24,4
Century Theatres,2021-01-25,7
Champion,2021-01-25,72
Chewy,2021-01-25,20
Fatburger,2021-01-25,50
Janie And Jack,2021-01-25,53
Air New Zealand,2021-01-26,6
Century Theatres,2021-01-26,2
Champion,2021-01-26,26
Chewy,2021-01-26,40
Fatburger,2021-01-26,67
Janie And Jack,2021-01-26,25
Air New Zealand,2021-01-27,6
Champion,2021-01-27,81
Chewy,2021-01-27,51
Fatburger,2021-01-27,104
Janie And Jack,2021-01-27,80
Century Theatres,2021-01-27,2
Air New Zealand,2021-01-28,3
Century Theatres,2021-01-28,1
Champion,2021-01-28,111
Chewy,2021-01-28,44
Fatburger,2021-01-28,52
Janie And Jack,2021-01-28,88
Air New Zealand,2021-01-29,1
Century Theatres,2021-01-29,4
Champion,2021-01-29,75
Chewy,2021-01-29,18
Fatburger,2021-01-29,48
Janie And Jack,2021-01-29,48
Air New Zealand,2021-01-30,1
Champion,2021-01-30,72
Chewy,2021-01-30,50
Fatburger,2021-01-30,60
Janie And Jack,2021-01-30,58
Century Theatres,2021-01-31,1
Champion,2021-01-31,49
Chewy,2021-01-31,17
Fatburger,2021-01-31,18
Janie And Jack,2021-01-31,39
Champion,2021-02-01,56
Chewy,2021-02-01,14
Fatburger,2021-02-01,38
Janie And Jack,2021-02-01,45
Air New Zealand,2021-02-02,3
Century Theatres,2021-02-02,2
Champion,2021-02-02,15
Chewy,2021-02-02,48
Fatburger,2021-02-02,31
Janie And Jack,2021-02-02,10
Air New Zealand,2021-02-03,5
Century Theatres,2021-02-03,6
Champion,2021-02-03,70
Chewy,2021-02-03,29
Fatburger,2021-02-03,86
Janie And Jack,2021-02-03,71
Air New Zealand,2021-02-04,4
Century Theatres,2021-02-04,3
Champion,2021-02-04,127
Chewy,2021-02-04,28
Fatburger,2021-02-04,46
Janie And Jack,2021-02-04,79
Air New Zealand,2021-02-05,2
Century Theatres,2021-02-05,3
Champion,2021-02-05,88
Chewy,2021-02-05,51
Fatburger,2021-02-05,53
Janie And Jack,2021-02-05,36
Air New Zealand,2021-02-06,2
Century Theatres,2021-02-06,2
Chewy,2021-02-06,54
Fatburger,2021-02-06,69
Janie And Jack,2021-02-06,74
Champion,2021-02-06,75
Air New Zealand,2021-02-07,3
Century Theatres,2021-02-07,1
Champion,2021-02-07,54
Chewy,2021-02-07,22
Fatburger,2021-02-07,20
Janie And Jack,2021-02-07,48
Century Theatres,2021-02-08,2
Champion,2021-02-08,81
Chewy,2021-02-08,34
Fatburger,2021-02-08,50
Janie And Jack,2021-02-08,47
Century Theatres,2021-02-09,1
Champion,2021-02-09,9
Chewy,2021-02-09,23
Fatburger,2021-02-09,11
Janie And Jack,2021-02-09,7
Air New Zealand,2021-02-10,1
Century Theatres,2021-02-10,11
Champion,2021-02-10,73
Chewy,2021-02-10,43
Fatburger,2021-02-10,210
Janie And Jack,2021-02-10,66
Century Theatres,2021-02-11,4
Champion,2021-02-11,109
Chewy,2021-02-11,44
Fatburger,2021-02-11,74
Janie And Jack,2021-02-11,93
Air New Zealand,2021-02-12,2
Century Theatres,2021-02-12,1
Champion,2021-02-12,66
Chewy,2021-02-12,41
Fatburger,2021-02-12,29
Janie And Jack,2021-02-12,32
Champion,2021-02-13,58
Chewy,2021-02-13,49
Fatburger,2021-02-13,26
Janie And Jack,2021-02-13,56
Century Theatres,2021-02-14,1
Champion,2021-02-14,45
Chewy,2021-02-14,21
Fatburger,2021-02-14,26
Janie And Jack,2021-02-14,42
Air New Zealand,2021-02-15,1
Chewy,2021-02-15,35
Fatburger,2021-02-15,29
Janie And Jack,2021-02-15,20
Champion,2021-02-15,34
Century Theatres,2021-02-16,2
Champion,2021-02-16,38
Chewy,2021-02-16,18
Fatburger,2021-02-16,29
Janie And Jack,2021-02-16,22
Air New Zealand,2021-02-16,1
Air New Zealand,2021-02-17,4
Century Theatres,2021-02-17,4
Chewy,2021-02-17,15
Fatburger,2021-02-17,26
Janie And Jack,2021-02-17,24
Champion,2021-02-17,21
Air New Zealand,2021-02-18,1
Century Theatres,2021-02-18,4
Champion,2021-02-18,75
Chewy,2021-02-18,95
Fatburger,2021-02-18,61
Janie And Jack,2021-02-18,64
Air New Zealand,2021-02-19,1
Century Theatres,2021-02-19,2
Champion,2021-02-19,102
Chewy,2021-02-19,54
Fatburger,2021-02-19,61
Janie And Jack,2021-02-19,68
Century Theatres,2021-02-20,1
Champion,2021-02-20,58
Chewy,2021-02-20,38
Fatburger,2021-02-20,30
Janie And Jack,2021-02-20,34
Century Theatres,2021-02-21,2
Champion,2021-02-21,45
Chewy,2021-02-21,27
Fatburger,2021-02-21,44
Janie And Jack,2021-02-21,26
Air New Zealand,2021-02-22,1
Century Theatres,2021-02-22,3
Champion,2021-02-22,13
Chewy,2021-02-22,31
Fatburger,2021-02-22,30
Janie And Jack,2021-02-22,17
Century Theatres,2021-02-23,1
Champion,2021-02-23,48
Chewy,2021-02-23,11
Fatburger,2021-02-23,36
Janie And Jack,2021-02-23,19
Air New Zealand,2021-02-24,1
Century Theatres,2021-02-24,1
Champion,2021-02-24,56
Chewy,2021-02-24,64
Janie And Jack,2021-02-24,69
Fatburger,2021-02-24,77
Air New Zealand,2021-02-25,2
Champion,2021-02-25,135
Chewy,2021-02-25,1800
Janie And Jack,2021-02-25,70
Fatburger,2021-02-25,61
Century Theatres,2021-02-26,2
Champion,2021-02-26,60
Chewy,2021-02-26,242
Fatburger,2021-02-26,41
Janie And Jack,2021-02-26,35
Century Theatres,2021-02-27,9
Champion,2021-02-27,82
Chewy,2021-02-27,62
Fatburger,2021-02-27,151
Air New Zealand,2021-02-27,4
Janie And Jack,2021-02-27,121
Air New Zealand,2021-02-28,2
Champion,2021-02-28,49
Chewy,2021-02-28,139
Fatburger,2021-02-28,23
Janie And Jack,2021-02-28,31
Champion,2021-03-01,46
Chewy,2021-03-01,20
Fatburger,2021-03-01,19
Janie And Jack,2021-03-01,33
Air New Zealand,2021-03-03,6
Century Theatres,2021-03-03,9
Champion,2021-03-03,63
Chewy,2021-03-03,59
Fatburger,2021-03-03,76
Janie And Jack,2021-03-03,58
Air New Zealand,2021-03-04,3
Century Theatres,2021-03-04,57
Champion,2021-03-04,127
Chewy,2021-03-04,152
Fatburger,2021-03-04,379
Janie And Jack,2021-03-04,133
Air New Zealand,2021-03-05,7
Century Theatres,2021-03-05,5
Champion,2021-03-05,103
Chewy,2021-03-05,192
Fatburger,2021-03-05,101
Janie And Jack,2021-03-05,77
Air New Zealand,2021-03-06,11
Century Theatres,2021-03-06,19
Champion,2021-03-06,136
Chewy,2021-03-06,162
Fatburger,2021-03-06,237
Janie And Jack,2021-03-06,203
Air New Zealand,2021-03-07,1
Champion,2021-03-07,47
Chewy,2021-03-07,169
Fatburger,2021-03-07,27
Janie And Jack,2021-03-07,22
Air New Zealand,2021-03-08,2
Century Theatres,2021-03-08,29
Champion,2021-03-08,50
Chewy,2021-03-08,225
Fatburger,2021-03-08,219
Janie And Jack,2021-03-08,69
Air New Zealand,2021-03-09,8
Century Theatres,2021-03-09,36
Champion,2021-03-09,25
Chewy,2021-03-09,225
Fatburger,2021-03-09,54
Janie And Jack,2021-03-09,62
Air New Zealand,2021-03-10,10
Century Theatres,2021-03-10,308
Champion,2021-03-10,165
Chewy,2021-03-10,265
Fatburger,2021-03-10,565
Janie And Jack,2021-03-10,255
Air New Zealand,2021-03-11,4
Century Theatres,2021-03-11,71
Champion,2021-03-11,171
Chewy,2021-03-11,468
Fatburger,2021-03-11,144
Janie And Jack,2021-03-11,151
Century Theatres,2021-03-12,27
Champion,2021-03-12,63
Chewy,2021-03-12,277
Fatburger,2021-03-12,129
Janie And Jack,2021-03-12,95
Century Theatres,2021-03-13,26
Chewy,2021-03-13,50
Champion,2021-03-13,70
Fatburger,2021-03-13,110
Air New Zealand,2021-03-13,3
Janie And Jack,2021-03-13,63
Century Theatres,2021-03-14,5
Champion,2021-03-14,51
Chewy,2021-03-14,31
Fatburger,2021-03-14,40
Janie And Jack,2021-03-14,43
Air New Zealand,2021-03-15,2
Century Theatres,2021-03-15,3
Champion,2021-03-15,67
Chewy,2021-03-15,42
Fatburger,2021-03-15,43
Janie And Jack,2021-03-15,43
Air New Zealand,2021-03-16,1
Century Theatres,2021-03-16,24
Champion,2021-03-16,26
Chewy,2021-03-16,24
Fatburger,2021-03-16,83
Janie And Jack,2021-03-16,27
Air New Zealand,2021-03-17,1
Century Theatres,2021-03-17,10
Champion,2021-03-17,56
Fatburger,2021-03-17,64
Janie And Jack,2021-03-17,63
Chewy,2021-03-17,74
Air New Zealand,2021-03-18,5
Century Theatres,2021-03-18,164
Champion,2021-03-18,116
Chewy,2021-03-18,99
Fatburger,2021-03-18,206
Janie And Jack,2021-03-18,138
Air New Zealand,2021-03-19,1
Century Theatres,2021-03-19,23
Champion,2021-03-19,119
Chewy,2021-03-19,80
Fatburger,2021-03-19,50
Janie And Jack,2021-03-19,85
Air New Zealand,2021-03-20,3
Century Theatres,2021-03-20,41
Champion,2021-03-20,72
Chewy,2021-03-20,70
Fatburger,2021-03-20,81
Janie And Jack,2021-03-20,75
Century Theatres,2021-03-21,36
Champion,2021-03-21,78
Chewy,2021-03-21,55
Fatburger,2021-03-21,67
Janie And Jack,2021-03-21,56
Air New Zealand,2021-03-22,6
Century Theatres,2021-03-22,24
Champion,2021-03-22,73
Chewy,2021-03-22,62
Fatburger,2021-03-22,84
Janie And Jack,2021-03-22,74
Air New Zealand,2021-03-23,1
Century Theatres,2021-03-23,5
Champion,2021-03-23,14
Chewy,2021-03-23,27
Fatburger,2021-03-23,29
Janie And Jack,2021-03-23,18
Century Theatres,2021-03-24,9
Champion,2021-03-24,60
Chewy,2021-03-24,43
Fatburger,2021-03-24,53
Janie And Jack,2021-03-24,61
Air New Zealand,2021-03-25,2
Century Theatres,2021-03-25,264
Chewy,2021-03-25,132
Fatburger,2021-03-25,188
Champion,2021-03-25,143
Janie And Jack,2021-03-25,137
Century Theatres,2021-03-26,61
Air New Zealand,2021-03-26,2
Champion,2021-03-26,58
Chewy,2021-03-26,100
Fatburger,2021-03-26,77
Janie And Jack,2021-03-26,89
Air New Zealand,2021-03-27,13
Century Theatres,2021-03-27,243
Champion,2021-03-27,183
Chewy,2021-03-27,56
Fatburger,2021-03-27,578
Janie And Jack,2021-03-27,266
Air New Zealand,2021-03-28,5
Century Theatres,2021-03-28,23
Champion,2021-03-28,150
Chewy,2021-03-28,38
Fatburger,2021-03-28,115
Janie And Jack,2021-03-28,164
Air New Zealand,2021-03-29,1
Century Theatres,2021-03-29,31
Champion,2021-03-29,56
Chewy,2021-03-29,51
Fatburger,2021-03-29,53
Janie And Jack,2021-03-29,55
Air New Zealand,2021-03-30,1
Century Theatres,2021-03-30,7
Champion,2021-03-30,20
Chewy,2021-03-30,58
Fatburger,2021-03-30,54
Janie And Jack,2021-03-30,26
Air New Zealand,2021-03-31,3
Century Theatres,2021-03-31,12
Champion,2021-03-31,69
Chewy,2021-03-31,21
Fatburger,2021-03-31,29
Janie And Jack,2021-03-31,47
Century Theatres,2021-04-01,175
Champion,2021-04-01,102
Chewy,2021-04-01,39
Fatburger,2021-04-01,101
Janie And Jack,2021-04-01,136
Air New Zealand,2021-04-02,3
Century Theatres,2021-04-02,32
Champion,2021-04-02,109
Chewy,2021-04-02,171
Fatburger,2021-04-02,135
Janie And Jack,2021-04-02,98
Century Theatres,2021-04-03,66
Champion,2021-04-03,65
Chewy,2021-04-03,25
Fatburger,2021-04-03,50
Janie And Jack,2021-04-03,76
Century Theatres,2021-04-04,19
Champion,2021-04-04,40
Chewy,2021-04-04,45
Fatburger,2021-04-04,14
Janie And Jack,2021-04-04,41
Air New Zealand,2021-04-05,1
Champion,2021-04-05,48
Chewy,2021-04-05,70
Century Theatres,2021-04-05,33
Fatburger,2021-04-05,58
Janie And Jack,2021-04-05,59
Air New Zealand,2021-04-06,1
Century Theatres,2021-04-06,85
Champion,2021-04-06,22
Chewy,2021-04-06,12
Fatburger,2021-04-06,54
Janie And Jack,2021-04-06,44
Air New Zealand,2021-04-07,2
Century Theatres,2021-04-07,17
Champion,2021-04-07,54
Chewy,2021-04-07,23
Fatburger,2021-04-07,42
Janie And Jack,2021-04-07,44
Air New Zealand,2021-04-08,3
Champion,2021-04-08,102
Chewy,2021-04-08,63
Fatburger,2021-04-08,121
Century Theatres,2021-04-08,202
Janie And Jack,2021-04-08,115
Air New Zealand,2021-04-09,3
Century Theatres,2021-04-09,57
Champion,2021-04-09,53
Chewy,2021-04-09,120
Fatburger,2021-04-09,102
Janie And Jack,2021-04-09,55
Air New Zealand,2021-04-10,1
Century Theatres,2021-04-10,25
Champion,2021-04-10,64
Chewy,2021-04-10,55
Fatburger,2021-04-10,51
Janie And Jack,2021-04-10,60
Century Theatres,2021-04-11,4
Champion,2021-04-11,61
Chewy,2021-04-11,52
Fatburger,2021-04-11,32
Janie And Jack,2021-04-11,44
Air New Zealand,2021-04-12,1
Century Theatres,2021-04-12,8
Chewy,2021-04-12,37
Champion,2021-04-12,61
Fatburger,2021-04-12,34
Janie And Jack,2021-04-12,41
Air New Zealand,2021-04-13,1
Century Theatres,2021-04-13,14
Champion,2021-04-13,19
Chewy,2021-04-13,40
Fatburger,2021-04-13,39
Janie And Jack,2021-04-13,28
Air New Zealand,2021-04-14,4
Century Theatres,2021-04-14,16
Champion,2021-04-14,51
Chewy,2021-04-14,35
Fatburger,2021-04-14,49
Janie And Jack,2021-04-14,49
Century Theatres,2021-04-15,104
Champion,2021-04-15,100
Chewy,2021-04-15,57
Fatburger,2021-04-15,118
Janie And Jack,2021-04-15,86
Air New Zealand,2021-04-16,2
Century Theatres,2021-04-16,24
Champion,2021-04-16,63
Chewy,2021-04-16,142
Fatburger,2021-04-16,73
Janie And Jack,2021-04-16,73
Air New Zealand,2021-04-17,2
Century Theatres,2021-04-17,16
Champion,2021-04-17,50
Chewy,2021-04-17,60
Fatburger,2021-04-17,30
Janie And Jack,2021-04-17,42
Century Theatres,2021-04-18,5
Champion,2021-04-18,42
Chewy,2021-04-18,22
Fatburger,2021-04-18,36
Janie And Jack,2021-04-18,39
Air New Zealand,2021-04-19,1
Century Theatres,2021-04-19,1
Champion,2021-04-19,49
Chewy,2021-04-19,50
Fatburger,2021-04-19,32
Janie And Jack,2021-04-19,31
Air New Zealand,2021-04-20,4
Champion,2021-04-20,15
Chewy,2021-04-20,5
Fatburger,2021-04-20,53
Janie And Jack,2021-04-20,25
Century Theatres,2021-04-20,9
Century Theatres,2021-04-21,61
Champion,2021-04-21,59
Chewy,2021-04-21,15
Fatburger,2021-04-21,93
Janie And Jack,2021-04-21,70
Air New Zealand,2021-04-22,2
Century Theatres,2021-04-22,20
Champion,2021-04-22,96
Chewy,2021-04-22,45
Fatburger,2021-04-22,62
Janie And Jack,2021-04-22,60
Air New Zealand,2021-04-23,4
Century Theatres,2021-04-23,19
Champion,2021-04-23,71
Chewy,2021-04-23,86
Fatburger,2021-04-23,74
Janie And Jack,2021-04-23,63
Air New Zealand,2021-04-24,2
Century Theatres,2021-04-24,5
Champion,2021-04-24,53
Chewy,2021-04-24,36
Fatburger,2021-04-24,47
Janie And Jack,2021-04-24,38
Air New Zealand,2021-04-25,1
Century Theatres,2021-04-25,10
Champion,2021-04-25,59
Chewy,2021-04-25,37
Janie And Jack,2021-04-25,32
Fatburger,2021-04-25,36
Century Theatres,2021-04-26,3
Champion,2021-04-26,27
Chewy,2021-04-26,25
Fatburger,2021-04-26,21
Janie And Jack,2021-04-26,28
Air New Zealand,2021-04-27,3
Century Theatres,2021-04-27,8
Champion,2021-04-27,30
Chewy,2021-04-27,2
Fatburger,2021-04-27,19
Janie And Jack,2021-04-27,27
Air New Zealand,2021-04-28,1
Century Theatres,2021-04-28,7
Champion,2021-04-28,27
Chewy,2021-04-28,106
Fatburger,2021-04-28,41
Janie And Jack,2021-04-28,35
Air New Zealand,2021-04-29,2
Century Theatres,2021-04-29,193
Champion,2021-04-29,69
Chewy,2021-04-29,58
Fatburger,2021-04-29,118
Janie And Jack,2021-04-29,94
Century Theatres,2021-04-30,65
Champion,2021-04-30,44
Air New Zealand,2021-04-30,1
Chewy,2021-04-30,75
Fatburger,2021-04-30,57
Janie And Jack,2021-04-30,58
Air New Zealand,2021-05-01,2
Century Theatres,2021-05-01,36
Chewy,2021-05-01,16
Champion,2021-05-01,66
Fatburger,2021-05-01,36
Janie And Jack,2021-05-01,52
Air New Zealand,2021-05-02,2
Century Theatres,2021-05-02,17
Champion,2021-05-02,44
Chewy,2021-05-02,43
Fatburger,2021-05-02,33
Janie And Jack,2021-05-02,31
Air New Zealand,2021-05-03,1
Century Theatres,2021-05-03,33
Champion,2021-05-03,94
Fatburger,2021-05-03,166
Chewy,2021-05-03,216
Janie And Jack,2021-05-03,41
Air New Zealand,2021-05-04,1
Century Theatres,2021-05-04,2
Champion,2021-05-04,19
Chewy,2021-05-04,21
Fatburger,2021-05-04,10
Janie And Jack,2021-05-04,13
Air New Zealand,2021-05-05,2
Century Theatres,2021-05-05,5
Champion,2021-05-05,45
Chewy,2021-05-05,30
Fatburger,2021-05-05,26
Janie And Jack,2021-05-05,32
Century Theatres,2021-05-06,81
Air New Zealand,2021-05-06,4
Champion,2021-05-06,96
Chewy,2021-05-06,38
Fatburger,2021-05-06,113
Janie And Jack,2021-05-06,89
Air New Zealand,2021-05-07,4
Century Theatres,2021-05-07,24
Champion,2021-05-07,73
Chewy,2021-05-07,97
Fatburger,2021-05-07,50
Janie And Jack,2021-05-07,61
Air New Zealand,2021-05-08,4
Century Theatres,2021-05-08,13
Champion,2021-05-08,40
Chewy,2021-05-08,71
Fatburger,2021-05-08,59
Janie And Jack,2021-05-08,57
Air New Zealand,2021-05-09,1
Century Theatres,2021-05-09,5
Champion,2021-05-09,23
Chewy,2021-05-09,50
Fatburger,2021-05-09,24
Janie And Jack,2021-05-09,25
Air New Zealand,2021-05-10,3
Century Theatres,2021-05-10,7
Champion,2021-05-10,51
Chewy,2021-05-10,39
Fatburger,2021-05-10,36
Janie And Jack,2021-05-10,32
Air New Zealand,2021-05-11,1
Century Theatres,2021-05-11,8
Champion,2021-05-11,18
Chewy,2021-05-11,25
Fatburger,2021-05-11,39
Janie And Jack,2021-05-11,21
Century Theatres,2021-05-12,6
Champion,2021-05-12,29
Chewy,2021-05-12,37
Fatburger,2021-05-12,42
Janie And Jack,2021-05-12,32
Air New Zealand,2021-05-13,3
Century Theatres,2021-05-13,90
Champion,2021-05-13,71
Chewy,2021-05-13,86
Fatburger,2021-05-13,73
Janie And Jack,2021-05-13,75
Air New Zealand,2021-05-14,3
Century Theatres,2021-05-14,21
Champion,2021-05-14,57
Chewy,2021-05-14,86
Fatburger,2021-05-14,34
Janie And Jack,2021-05-14,44
Air New Zealand,2021-05-15,1
Champion,2021-05-15,59
Chewy,2021-05-15,62
Fatburger,2021-05-15,41
Janie And Jack,2021-05-15,36
Century Theatres,2021-05-15,10
Air New Zealand,2021-05-16,1
Century Theatres,2021-05-16,2
Champion,2021-05-16,29
Chewy,2021-05-16,20
Fatburger,2021-05-16,25
Janie And Jack,2021-05-16,17
Air New Zealand,2021-05-17,1
Century Theatres,2021-05-17,8
Champion,2021-05-17,37
Chewy,2021-05-17,81
Fatburger,2021-05-17,24
Janie And Jack,2021-05-17,32
